"ranking","country","regional_indicator","happiness_score","gdp","support","life_exp","freedom","generosity","corruption","year","regime_category","monarchy","democracy","presidential","colony","communist","sp_democracy","suffrage","electoral_category","sp_electoral","fair_election","alternation","region","country_or_territory","status","political_rights","civil_liberties"
117,"Sri Lanka","South Asia",4.415,9.94924,0.71652,69,0.83515,0.57311,0.15763,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","PF",4,4
47,"Malaysia","Southeast Asia",6.005,9.8289,0.74392,69,0.64144,0.50595,0.17975,2016,"Mixed democratic",TRUE,TRUE,FALSE,FALSE,FALSE,0.4,TRUE,"democratic elections",1.6,TRUE,TRUE,"Asia","c","PF",4,4
156,"Syria","Middle East and North Africa",3.069,9.91917,0.12563,70,0.1136,0.59041,0.34111,2016,"Military dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.2,TRUE,"non-democratic multi-party elections",2.2,FALSE,FALSE,"Middle East","c","NF",7,7
64,"Peru","Latin America and Caribbean",5.743,9.99132,0.68671,70,0.61631,0.17722,0.10475,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,3
61,"Belarus","Commonwealth of Independent States",5.802,9.96713,0.88732,70,0.47809,0.17008,0.34554,2016,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,TRUE,0.8,TRUE,"non-democratic multi-party elections",2.8,FALSE,FALSE,"Eurasia","c","NF",7,6
88,"Montenegro","Western Europe",5.161,9.97972,0.62685,70,0.24833,0.20972,0.2518,2016,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.75,TRUE,"non-democratic multi-party elections",2.75,FALSE,FALSE,"Europe","c","PF",3,3
41,"Kuwait","Middle East and North Africa",6.239,9.78917,0.74167,70,0.70941,0.19477,0.4685,2016,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1,FALSE,FALSE,"Middle East","c","PF",5,5
68,"Latvia","Western Europe",5.56,9.88524,0.80308,70,0.46009,0.21282,0.17596,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",2,2
126,"Georgia","Western Europe",4.252,9.96148,0.16268,70,0.53347,0.08278,0.63102,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.25,TRUE,"democratic elections",2.25,TRUE,TRUE,"Eurasia","c","PF",3,3
121,"Armenia","Commonwealth of Independent States",4.36,9.83195,0.52801,70,0.23069,0.09507,0.07157,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.25,TRUE,"democratic elections",2,TRUE,TRUE,"Eurasia","c","PF",5,4
105,"Iran","Middle East and North Africa",4.813,9.94451,0.32839,70,0.37049,0.47014,0.11024,2016,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.25,TRUE,"single-party elections",2,FALSE,FALSE,"Middle East","c","NF",6,6
86,"Serbia","Western Europe",5.177,9.78779,0.68733,70,0.25832,0.25297,0.08589,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.777777777777778,TRUE,"democratic elections",2.77777777777778,TRUE,TRUE,"Europe","c","F",2,2
60,"Lithuania","Western Europe",5.813,9.9342,0.8993,70,0.31108,0.0247,0.03602,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.5,TRUE,TRUE,"Europe","c","F",1,1
78,"Turkey","Middle East and North Africa",5.389,9.9501,0.74132,70,0.3926,0.05742,0.24441,2016,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.625,TRUE,"non-democratic multi-party elections",2.5,FALSE,FALSE,"Europe","c","PF",3,4
95,"North Macedonia","Western Europe",5.121,9.94196,0.66119,70,0.45471,0.28677,0.13949,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","PF",4,3
33,"Thailand","Southeast Asia",6.474,9.94463,0.88296,70,0.81437,0.71606,0.05608,2016,"Military dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0.25,TRUE,"no elections",2,FALSE,FALSE,"Asia","c","NF",6,5
48,"Nicaragua","Latin America and Caribbean",5.992,9.99201,0.75656,70,0.76555,0.36322,0.32247,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",4,3
42,"Bahrain","Middle East and North Africa",6.218,9.98695,0.79777,71,0.77858,0.20918,0.51013,2016,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",0,FALSE,FALSE,"Middle East","c","NF",7,6
96,"Vietnam","Southeast Asia",5.061,9.88867,0.66863,71,0.91957,0.3059,0.22874,2016,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE,"single-party elections",1,FALSE,FALSE,"Asia","c","NF",7,5
66,"Mauritius","Sub-Saharan Africa",5.648,9.91893,0.63972,71,0.75836,0.45078,0.10299,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",2,TRUE,TRUE,"Africa","c","F",1,2
71,"Romania","Western Europe",5.528,9.87727,0.61527,71,0.60334,0.15724,0.01344,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",2,2
91,"Hungary","Western Europe",5.145,9.95659,0.78735,71,0.32491,0.12077,0.08852,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.875,TRUE,"democratic elections",2.875,TRUE,TRUE,"Europe","c","F",2,2
129,"Bulgaria","Central and Eastern Europe",4.217,9.97792,0.78209,71,0.34872,0.15607,0.01218,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",2,2
72,"Estonia","Western Europe",5.517,9.99915,0.88875,72,0.68221,0.10275,0.36656,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
51,"Ecuador","Latin America and Caribbean",5.976,9.99859,0.72659,72,0.66181,0.12289,0.35702,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,3
57,"Poland","Western Europe",5.835,9.97051,0.88472,72,0.74267,0.1762,0.10886,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.714285714285714,TRUE,"democratic elections",2.71428571428571,TRUE,TRUE,"Europe","c","F",1,1
26,"Argentina","Latin America and Caribbean",6.65,9.92469,0.90101,72,0.6949,0.13406,0.14442,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
45,"Slovakia","Western Europe",6.078,9.81447,0.91499,72,0.38441,0.16881,0.05834,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
74,"Croatia","Central and Eastern Europe",5.488,9.69673,0.51391,73,0.3929,0.22489,0.07922,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.6,TRUE,"democratic elections",2.6,TRUE,TRUE,"Europe","c","F",1,2
87,"Bosnia and Herzegovina","Central and Eastern Europe",5.163,9.77892,0.54398,73,0.15631,0.36463,0,2016,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"non-democratic multi-party elections",2.66666666666667,FALSE,FALSE,"Europe","c","PF",4,3
25,"Panama","Latin America and Caribbean",6.701,9.96471,0.83593,73,0.80409,0.29498,0.16672,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
21,"Mexico","Latin America and Caribbean",6.778,9.97271,0.60393,73,0.61972,0.14317,0.36331,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.5,TRUE,TRUE,"Americas","c","PF",3,3
36,"Qatar","Middle East and North Africa",6.375,10,0.7434,73,0.93147,0.39511,0.95108,2016,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"no elections",0.666666666666667,FALSE,FALSE,"Middle East","c","NF",6,5
29,"Uruguay","Latin America and Caribbean",6.545,9.98467,0.87168,73,0.89382,0.22027,0.42346,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
28,"United Arab Emirates","Middle East and North Africa",6.573,9.96966,0.73622,74,0.92385,0.32439,0.70389,2016,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"no elections",1.25,FALSE,FALSE,"Middle East","c","NF",6,6
109,"Albania","Central and Eastern Europe",4.655,9.77705,0.42394,74,0.5237,0.20543,0.10493,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.8,TRUE,"democratic elections",2.8,TRUE,TRUE,"Europe","c","PF",3,3
83,"China","East Asia",5.245,9.99912,0.67087,74,0.72331,0.06049,0.05434,2016,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,TRUE,0.470588235294118,TRUE,"no elections",2.29411764705882,FALSE,FALSE,"Asia","c","NF",7,6
14,"Costa Rica","Latin America and Caribbean",7.087,9.9324,0.86331,75,0.90759,0.27513,0.20876,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
93,"Lebanon","Middle East and North Africa",5.129,9.98855,0.54243,75,0.43104,0.28904,0.06058,2016,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"non-democratic multi-party elections",2.66666666666667,TRUE,FALSE,"Middle East","c","PF",5,4
27,"Czech Republic","Western Europe",6.596,9.97896,0.85183,75,0.68067,0.12112,0.07889,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
15,"Puerto Rico","Latin America and Caribbean",7.039,9.99959,0.91369,75,0.76951,0.27085,0.24297,2016,"Unincorporated territory of the United States with Commonwealth status",FALSE,TRUE,TRUE,TRUE,FALSE,0.75,TRUE,"democratic elections",2.25,TRUE,TRUE,"Americas","t","F",1,1
13,"United States","North America and ANZ",7.104,9.97785,0.88553,75,0.79153,0.50111,0.2943,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
63,"Slovenia","Western Europe",5.768,9.92202,0.89256,76,0.87371,0.31399,0.07195,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
94,"Portugal","Western Europe",5.123,9.966,0.79752,76,0.73505,0.14262,0.0301,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
1,"Denmark","Western Europe",7.526,9.97766,0.98351,76,0.95223,0.44126,0.8799,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
35,"Taiwan","East Asia",6.379,9.95173,0.78279,76,0.5321,0.31103,0.13124,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2,TRUE,TRUE,"Asia","c","F",1,2
4,"Norway","Western Europe",7.498,9.70015,0.95237,76,0.97963,0.46229,0.70814,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
99,"Greece","Western Europe",5.033,9.97503,0.63784,76,0.09568,0,0.08169,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",2,2
30,"Malta","Western Europe",6.488,9.98752,0.92861,76,0.90379,0.68605,0.34747,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
12,"Austria","Western Europe",7.119,9.98799,0.91597,77,0.89329,0.40093,0.42257,2016,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
23,"United Kingdom","Western Europe",6.725,9.97265,0.91841,77,0.82231,0.61188,0.54233,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
5,"Finland","Western Europe",7.413,9.83367,0.95891,77,0.93846,0.31099,0.81162,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
7,"Netherlands","Western Europe",7.339,9.84579,0.86974,77,0.90736,0.57844,0.59237,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
19,"Ireland","Western Europe",6.907,9.94988,0.98167,77,0.88759,0.54852,0.58894,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
16,"Germany","Western Europe",6.994,9.97881,0.92772,77,0.87868,0.3715,0.56513,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
24,"Chile","Latin America and Caribbean",6.705,9.98816,0.76557,77,0.62104,0.38544,0.22665,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
18,"Belgium","Western Europe",6.929,9.98917,0.88948,77,0.84396,0.29571,0.51954,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
6,"Canada","North America and ANZ",7.404,9.99918,0.92634,77,0.94284,0.54695,0.62012,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
8,"New Zealand","North America and ANZ",7.334,9.82821,0.99115,78,0.95561,0.60266,0.82945,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
10,"Sweden","Western Europe",7.291,9.89265,0.91919,78,0.95678,0.46667,0.80891,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
32,"France","Western Europe",6.478,9.979,0.84942,78,0.76521,0.14835,0.35249,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
20,"Luxembourg","Western Europe",6.871,9.15144,0.87892,78,0.90176,0.33635,0.6993,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
69,"Cyprus","Western Europe",5.546,9.93412,0.59748,78,0.48492,0.34044,0.10348,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.333333333333333,TRUE,"democratic elections",2.33333333333333,TRUE,TRUE,"Europe","c","F",1,1
11,"Israel","Middle East and North Africa",7.267,9.95569,0.84121,78,0.59874,0.39389,0.17276,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",2,TRUE,TRUE,"Middle East","c","F",1,2
50,"Italy","Western Europe",5.977,9.95971,0.88034,78,0.3094,0.20353,0.05059,2016,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
9,"Australia","North America and ANZ",7.313,9.97098,0.93365,78,0.93407,0.57834,0.63995,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
2,"Switzerland","Western Europe",7.509,9.64149,0.96787,79,0.96235,0.34259,0.81557,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
3,"Iceland","Western Europe",7.501,9.88557,1,79,0.93058,0.58165,0.29641,2016,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
37,"Spain","Western Europe",6.361,9.88808,0.95452,79,0.61702,0.2155,0.12148,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
58,"South Korea","East Asia",5.835,9.98936,0.61012,80,0.41362,0.22964,0.15272,2016,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.333333333333333,TRUE,"democratic elections",1.33333333333333,TRUE,TRUE,"Asia","c","F",2,2
53,"Japan","East Asia",5.921,9.87032,0.89629,81,0.76848,0.12473,0.37579,2016,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.25,TRUE,"democratic elections",1.5,TRUE,TRUE,"Asia","c","F",1,1
22,"Singapore","East Asia",6.739,9.62602,0.73321,82,0.8015,0.399,0.93005,2016,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,"non-democratic multi-party elections",3,FALSE,FALSE,"Asia","c","PF",4,4
75,"Hong Kong","East Asia",5.458,9.86699,0.73543,82,0.79014,0.48916,0.62641,2016,"Special Administrative Region of China",FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1,FALSE,FALSE,"Asia","t","PF",5,2
3,"Iceland","Western Europe",7.504,7.91458,1,71,0.95277,0.56742,0.33066,2017,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
15,"Ireland","Western Europe",6.977,8.20897,0.9675,71,0.87066,0.51053,0.64265,2017,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
2,"Denmark","Western Europe",7.522,7.92394,0.96309,70,0.95102,0.42392,0.86316,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
47,"Uzbekistan","Commonwealth of Independent States",5.971,4.20385,0.96175,62,1,0.49636,0.53096,2017,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.2,TRUE,"non-democratic multi-party elections",2.2,FALSE,FALSE,"Eurasia","c","NF",7,7
8,"New Zealand","North America and ANZ",7.314,7.51407,0.96127,71,0.93287,0.59661,0.82449,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
5,"Finland","Western Europe",7.469,7.71648,0.95633,71,0.93878,0.29291,0.82405,2017,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
1,"Norway","Western Europe",7.537,8.64065,0.95216,70,0.96532,0.43196,0.68051,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
34,"Spain","Western Europe",6.403,7.40017,0.95127,73,0.62101,0.22687,0.15273,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
4,"Switzerland","Western Europe",7.494,8.36545,0.94185,72,0.942,0.34669,0.79044,2017,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
9,"Australia","North America and ANZ",7.284,7.9348,0.93758,72,0.91395,0.57,0.64867,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
70,"Paraguay","Latin America and Caribbean",5.493,4.98479,0.93587,64,0.71934,0.26746,0.19613,2017,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,3
40,"Slovakia","Central and Eastern Europe",6.098,7.08477,0.93449,68,0.4494,0.16293,0.05214,2017,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
19,"United Kingdom","Western Europe",6.714,7.70612,0.92915,71,0.77203,0.58798,0.57166,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
59,"Turkmenistan","Commonwealth of Independent States",5.822,6.04446,0.92709,60,0.63543,0.29821,0.5584,2017,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1.75,FALSE,FALSE,"Eurasia","c","NF",7,7
100,"Mongolia","East Asia",4.955,5.49099,0.92701,63,0.59878,0.40386,0.07086,2017,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",1,TRUE,TRUE,"Asia","c","F",1,2
27,"Malta","Western Europe",6.527,7.18037,0.92415,71,0.89444,0.68577,0.32967,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
7,"Canada","North America and ANZ",7.316,7.90695,0.91976,71,0.92837,0.51969,0.61892,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
10,"Sweden","Western Europe",7.284,7.9881,0.91779,71,0.93114,0.45986,0.8279,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
66,"Estonia","Western Europe",5.611,7.06063,0.91686,67,0.72789,0.118,0.39467,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
52,"Lithuania","Western Europe",5.902,7.02697,0.9149,65,0.35584,0.01213,0.02556,2017,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.5,TRUE,TRUE,"Europe","c","F",1,1
16,"Germany","Western Europe",6.951,7.95355,0.91428,70,0.85456,0.40124,0.59601,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
49,"Russia","Commonwealth of Independent States",5.963,6.85162,0.91227,63,0.56784,0.06236,0.07099,2017,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.6,TRUE,"non-democratic multi-party elections",2.4,FALSE,FALSE,"Eurasia","c","NF",7,6
17,"Belgium","Western Europe",6.891,7.8245,0.90795,71,0.82001,0.27623,0.54133,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
13,"Austria","Western Europe",7.006,7.94914,0.90647,71,0.86254,0.37762,0.47611,2017,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
18,"Luxembourg","Western Europe",6.863,9.31139,0.90501,72,0.90639,0.33789,0.68669,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
62,"Slovenia","Central and Eastern Europe",5.758,7.16929,0.90186,70,0.86985,0.28953,0.0972,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
46,"Poland","Central and Eastern Europe",5.973,6.90513,0.89764,68,0.79049,0.18908,0.12773,2017,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.714285714285714,TRUE,"democratic elections",2.71428571428571,TRUE,TRUE,"Europe","c","F",1,2
67,"Belarus","Commonwealth of Independent States",5.569,6.18227,0.89716,66,0.44877,0.18511,0.33666,2017,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,TRUE,0.8,TRUE,"non-democratic multi-party elections",2.8,FALSE,FALSE,"Eurasia","c","NF",7,6
48,"Italy","Western Europe",5.964,7.4572,0.89715,72,0.3896,0.20617,0.06037,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
24,"Argentina","Latin America and Caribbean",6.599,6.33588,0.89437,67,0.75127,0.13061,0.12866,2017,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
51,"Japan","East Asia",5.92,7.57399,0.89182,74,0.76814,0.14387,0.3527,2017,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.25,TRUE,"democratic elections",1.5,TRUE,TRUE,"Asia","c","F",1,1
105,"Bulgaria","Central and Eastern Europe",4.714,6.20847,0.8906,68,0.4394,0.13504,0.0238,2017,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",2,2
23,"Czech Republic","Central and Eastern Europe",6.609,7.23063,0.89029,69,0.74584,0.10513,0.07941,2017,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
82,"Venezuela","Latin America and Caribbean",5.25,6.03192,0.88871,65,0.23395,0.07758,0.1389,2017,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,TRUE,1,TRUE,"single-party elections",3,FALSE,FALSE,"Americas","c","NF",6,5
22,"Brazil","Latin America and Caribbean",6.635,5.91925,0.88869,65,0.66457,0.19372,0.23927,2017,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.875,TRUE,"democratic elections",2.75,TRUE,TRUE,"Americas","c","F",2,2
